Customer,Truck,Unit Ref,VIN,SO #,DTI PO#,CRM Stage,Build,Tommy Gate,Westcan Parts,Westcan Tariff (22%),DTI Trucks,Autoplex,Total per Truck
High Five,Plumbing #1,007852,(no DTI PO yet),S01176,,In Production,Plumbing,3941.00,2681.20,589.86,2712.50,1800.00,11724.56
High Five,Plumbing #2,007943,(no DTI PO yet),S01207,,In Production,Plumbing,3941.00,2681.20,589.86,2712.50,1800.00,11724.56
High Five,Plumbing #3,007921,(no DTI PO yet),S01206,,In Production,Plumbing,3941.00,2681.20,589.86,2712.50,1800.00,11724.56
High Five,Plumbing #4,007781,(no DTI PO yet),S01205,,In Production,Plumbing,3941.00,2681.20,589.86,2712.50,1800.00,11724.56
High Five,Plumbing #5,015185,(no DTI PO yet),S01226,,In Production,Plumbing,3941.00,2681.20,589.86,2712.50,1800.00,11724.56
High Five,HVAC #5,015117,(no DTI PO yet),S01227,,In Production,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
High Five,HVAC #4,006088,1HA3GSF7XSN006088,S01213,P01243,Delivered & Unpaid,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
High Five,HVAC #3,006723,1HA3GSFXSN006723 (incomplete in Odoo),S01212,P01246,Delivered & Unpaid,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
High Five,HVAC #2,006699,1HA3GSF76SN006699,S01211,P01247,Delivered & Unpaid,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
High Five,HVAC #1,006623,1HA3SGF76SN006623 (check typo),S01210,P01255,Delivered & Unpaid,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
AAA,HVAC #4,006635,1HA3GSF72SN006635,S01202,P01265,Invoiced,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
AAA,HVAC #6,290657,1GB3GSC78R1290657,S01204,P01266,Invoiced,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
AAA,HVAC #5,290854,1GB3GSC7XR1290854,S01203,P01247,Delivered & Unpaid,HVAC,3941.00,1296.14,285.15,2712.50,1800.00,10034.79
,,,,,,,,,,,,,
,HIGH FIVE SUBTOTAL (10),,,,,,,39410.00,19886.70,4375.05,27125.00,18000.00,108796.75
,AAA SUBTOTAL (3),,,,,,,11823.00,3888.42,855.45,8137.50,5400.00,30104.37
,GRAND TOTAL (13),,,,,,,51233.00,23775.12,5230.50,35262.50,23400.00,138901.12
