Account,Direction,Partner,Reference,Vendor/Cust Ref,Date,Amount,Category,Action for bookkeeper
Accounts Payable,Credit (we owe),Westcan Manufacturing,BILL/2026/05/0106,"100026907-910",2026-05-31,-16494.95,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Vehicle Lighting Solutions,BILL/2026/07/0042,,2026-07-20,-10008.32,Partial paid (10k of 20008.32),Apply remaining balance / confirm
Accounts Payable,Credit (we owe),AMF Bruns,BILL/2026/07/0015,0040792-IN,2026-07-09,-8438.06,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Westcan Manufacturing,BILL/2026/06/0037,100026929,2026-06-22,-4852.32,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Westcan Manufacturing,BILL/2026/05/0098,100026881,2026-05-31,-6325.15,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Westcan Manufacturing,BILL/2026/05/0097,100026880,2026-05-31,-4594.98,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Colorado Kreative Designs,BILL/2026/06/0091,2119,2026-06-30,-3505.00,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),DTI Trucks,BILL/2026/07/0053,03W2694,2026-07-22,-2712.50,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),DTI Trucks,BILL/2026/07/0049,03W2713,2026-07-21,-2712.50,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),DTI Trucks,BILL/2026/07/0050,,2026-07-21,-2712.50,Normal open payable - no vendor ref,Confirm invoice # then pay
Accounts Payable,Credit (we owe),Autoplex,BILL/2026/07/0037,541987/542034,2026-07-17,-1800.00,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Phil Long Ford Denver,BILL/2025/05/0033,INV 2024/00077 & 00294,2025-05-14,-1000.00,Aged over 1yr,Investigate - stale, likely needs clearing
Accounts Payable,Credit (we owe),Maxxima,BILL/2026/07/0056,N185465,2026-07-22,-559.52,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Xcel Energy,BILL/2026/06/0084,June Usage,2026-06-30,-489.25,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),AM Auto North America,BILL/2026/07/0024,AM20685,2026-07-15,-334.46,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Lowe's,BNK4/2026/00075,,2026-04-07,-244.86,Credit card open balance,Match to receipt/bill
Accounts Payable,Credit (we owe),Geekify,BILL/2026/05/0039,,2026-05-15,-160.00,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),AMF Bruns,BILL/2026/07/0043,0041078-IN,2026-07-20,-117.92,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Geekify,BILL/2025/10/0085,,2025-10-31,-120.00,Aged open payable,Pay or clear
Accounts Payable,Credit (we owe),Geekify,BILL/2025/11/0058,,2025-11-26,-40.00,Aged open payable,Pay or clear
Accounts Payable,Credit (we owe),Geekify,BILL/2026/05/0024,,2026-05-11,-40.00,Normal open payable,Pay per terms
Accounts Payable,Credit (we owe),Adan Gonzales,BILL/2026/06/0046,FEDEX 585158,2026-06-23,-21.67,Reimbursement,Pay or clear
Accounts Payable,Debit (cash-basis distortion),The Home Depot,RBILL/2025/06/0002,,2025-06-24,153.52,Vendor return sitting open,Match to original bill or reclass
Accounts Payable,Debit (cash-basis distortion),Amazon,BNK2/2026/00139,MKTPL 1H4G150,2026-02-02,57.56,Unmatched bank charge in AP,Reclass to expense / match to bill
