Volition Components - Forensic breakdown of account 300105 "Retained Earning",,,,,,
Every posting to the migrated QuickBooks retained-earnings account. Current balance: -36550.80 (all 15 lines reconcile).,,,,,,
Ownership: the CURRENT bookkeeper (Muhammad) makes the correcting entries. BALANCED LEDGERS (CPA) directs the period and income/equity treatment on prior-year items and signs off.,,,,,,
Root cause: these postings were made by the FORMER bookkeeper Muhammad Yasir Islam (Upwork, contract ended 2025-01-27) during the QB->Odoo migration - a DIFFERENT person from the current Muhammad. His stated method (Upwork msg 2024-12-19): book prior-earned receipts straight to equity ("book our income... increase our investment"). That is why deposits/payments landed in Retained Earnings instead of income/AR/customer-deposit.,,,,,,
,,,,,,
Category,Date,Entry,Debit,Credit,What it is,Correction / Owner
MIGRATION OPENING (legit setup),2023-12-31,MISC/2023/12/0001,,114216.90,2023 net income closed to RE (matches QB Net Income),Confirm vs Odoo native RE / Balanced Ledgers
MIGRATION OPENING (legit setup),2023-12-31,MISC/2023/12/0001,55989.55,,Opening RE (matches QB Retained Earnings -55989.55),Balanced Ledgers
MIGRATION OPENING (legit setup),2023-12-31,MISC/2023/12/0001,,564.02,Golden sales-tax residual moved to RE,Balanced Ledgers
MIGRATION OPENING (legit setup),2023-12-31,MISC/2023/12/0003,46846.83,,Migration balance transfer RE -> AP,Balanced Ledgers
MIGRATION OPENING (legit setup),2023-12-31,MISC/2023/12/0003,,68247.78,Migration balance transfer RE -> AR,Balanced Ledgers
2023 WIP DEPOSIT cleared to RE at migration,2023-10-24,MISC/2023/10/0001,16130.42,,"Deposit on van S00030 (INV/2023/00005 16130.42). Balance invoiced 2024 (INV/2024/00013 25486.47); deposit+balance = SO total 41616.89. NOT a duplicate.","DO NOT REVERSE. Balanced Ledgers to confirm offset (customer deposit liability vs opening equity vs RE)"
2023 WIP DEPOSIT cleared to RE at migration,2023-10-24,MISC/2023/10/0002,16130.42,,"Deposit on van S00029 (INV/2023/00006 16130.42) - DIFFERENT van. Balance invoiced 2024 (INV/2024/00014 25121.35); deposit+balance = SO total 41251.77. NOT a duplicate.","DO NOT REVERSE. Balanced Ledgers to confirm offset"
2023 WIP DEPOSIT cleared to RE at migration,2023-11-06,MISC/2023/11/0003,16130.42,,"Deposit on van S00013 (INV/2023/00009 16130.42) - DIFFERENT van. Balance invoiced 2024 (INV/2024/00027 25121.35); deposit+balance = SO total 41251.77. NOT a duplicate.","DO NOT REVERSE. Balanced Ledgers to confirm offset"
2023 WIP deposit/receivable cleared to RE at migration,2023-11-30,MISC/2023/11/0002,21087.14,,"Jim Shanahan INV/2023/00010, paid pre-Odoo. Single 2023 invoice, no separate 2024 balance found - confirm whether WIP deposit or completed job.","Balanced Ledgers to confirm treatment before any reclass"
IMPROPER - bank deposit in RE,2024-01-02,BNK1/2024/00001,,241.12,Shopify transfer,Reclass to income/clearing. Muhammad
NEEDS TRACING - unattributed deposit in RE,2024-01-03,BNK1/2024/00002,,10891.54,"$10,891.54 remote check deposit into the Income bank, offset to RE. NO customer, NO invoice reference. All OTHER remote deposits are attributed to a customer and applied to AR; this is the exception. No Odoo invoice matches the amount. Likely a 2023 QB-era sale paid at transition with no open Odoo receivable - OR misclassified 2024 income.","Pull the bank record/check image for 1/3/2024 to identify the payer and the underlying sale, THEN Balanced Ledgers determines treatment (2023 = equity/opening; 2024 = income). Do not blind-reclass."
IMPROPER - distribution moved to RE,2024-04-01,MISC/2024/04/0002,16524.56,,"Q1-2024 partner distribution pushed into RE. This entry CREDITED Adan & Tony distribution accounts 8262.28 each and DEBITED RE 16524.56. The real distribution bills (BILL/2024/04/0081-0082 on 4/15) already DEBITED the distribution accounts, so the two cancel there and the distribution lands in RE.","Reverse this manual entry to restore the distribution to 300103/300104. Muhammad"
IMPROPER - inventory plug in RE,2024-04-13,MISC/2024/04/0001,,32800.59,Inventory valuation adjustment plugged to RE,Reclass to inventory/COGS. Muhammad; Balanced Ledgers to confirm
IMPROPER - inventory plug in RE,2024-04-17,MISC/2024/04/0003,1571.80,,Reversal of inventory adjustment,Reclass to inventory/COGS. Muhammad
TRIVIAL,2025-08-12,PBNK1/2025/00227,0.01,,1-cent write-off (Adan Medina Hernandez),Immaterial. Muhammad
NET BALANCE,,,,,-36550.80,All lines reconcile
,,,,,,
CORRECTION (not duplicates),,,,,"The three 16130.42 Natural Habitat entries are NOT duplicates. They are three separate 2023 deposits for three separate vans (S00030 / S00029 / S00013), each with a matching 2024 balance invoice (deposit + balance = each SO total exactly). These were deposits on jobs that were WIP at the Odoo transition; balances were recognized in 2024 on delivery. DO NOT reverse any of them.","Balanced Ledgers confirms the correct offset (customer deposit liability vs opening equity vs RE); Muhammad executes only after that"
END STATE,,,,,"After the improper items are unwound, reconcile whatever legitimately remains into Odoo's native 'Undistributed Profits/Losses' (300201) so there is ONE retained earnings.",Balanced Ledgers directs; Muhammad executes
